Route Number,Route Name_x,Schedule Period Name,Day Type,Time Period,Averge Early Stop count,Averge Late Stop count,Averge On-Time Stop count,Route Name_y,Average Boardings,Average Alightings,Average Pass-Up,Average Wheelchair Pass-Up
10,St. Boniface-West Broadway,Fall 2022,Weekday,Evening,11.40178571,10.41964286,49.95535714,St.Boniface-West Broadway,1.576363636,1.558181818,0,0
10,St. Boniface-West Broadway,Fall 2022,Weekday,Mid-Day,41.84955752,22.82300885,100.7522124,St.Boniface-West Broadway,4.206363636,3.900909091,0,1
10,St. Boniface-West Broadway,Fall 2022,Weekday,Morning,30.06962025,4.829113924,67.5443038,St.Boniface-West Broadway,2.415454545,2.264545455,0,0
10,St. Boniface-West Broadway,Fall 2022,Weekday,Night,6.184210526,14.39473684,58.69736842,St.Boniface-West Broadway,0.688181818,0.728181818,0,0
10,St. Boniface-West Broadway,Fall 2022,Weekday,PM Peak,17.57692308,21.8,54.66153846,St.Boniface-West Broadway,2.448181818,2.451818182,0,0
10,St. Boniface-West Broadway,Spring 2023,Weekday,Evening,21.89166667,9.416666667,34.11666667,St.Boniface-West Broadway,1.59,1.553636364,0,0
10,St. Boniface-West Broadway,Spring 2023,Weekday,Mid-Day,15.63846154,39.20769231,103.2769231,St.Boniface-West Broadway,4.549090909,4.233636364,0,0
10,St. Boniface-West Broadway,Spring 2023,Weekday,Morning,12.23333333,10.72222222,79.22222222,St.Boniface-West Broadway,2.843636364,2.712727273,0,0
10,St. Boniface-West Broadway,Spring 2023,Weekday,Night,19.10294118,9.764705882,51.98529412,St.Boniface-West Broadway,0.637272727,0.705454545,0,0
10,St. Boniface-West Broadway,Spring 2023,Weekday,PM Peak,11.03846154,47.46794872,32.16666667,St.Boniface-West Broadway,2.916363636,2.927272727,0,0
10,St. Boniface-West Broadway,Summer 2022,Weekday,Evening,10.01709402,11.58119658,52.11111111,St.Boniface-West Broadway,1.486363636,1.473636364,0,0
10,St. Boniface-West Broadway,Summer 2022,Weekday,Mid-Day,26.83333333,20.55,79.04166667,St.Boniface-West Broadway,2.701818182,2.545454545,0,0
10,St. Boniface-West Broadway,Summer 2022,Weekday,Morning,25.06547619,5.547619048,61.375,St.Boniface-West Broadway,1.977272727,1.903636364,0,0
10,St. Boniface-West Broadway,Summer 2022,Weekday,Night,4.9,13.87777778,57.7,St.Boniface-West Broadway,0.579090909,0.634545455,0,0
10,St. Boniface-West Broadway,Summer 2022,Weekday,PM Peak,16.09448819,20.55905512,48.58267717,St.Boniface-West Broadway,2.352727273,2.239090909,0,0
